pt_low_GeV,pt_high_GeV,fit2025_valid,mphi2025_GeV,mphi2025_err_GeV,sigma2025_GeV,sigma2025_err_GeV,fit2026_valid,mphi2026_GeV,mphi2026_err_GeV,sigma2026_GeV,sigma2026_err_GeV,delta_m_2025_minus_2026_GeV,mc_slope_GeV_per_epsilon,epsilon_correction_2025_to_2026,epsilon_error,closure_shift_GeV
0.8,1,1,1.01886475282,2.23940484811e-06,0.00112274103153,4.2196297751e-06,1,1.01929918048,3.16671497158e-06,0.00113100427339,5.97690532875e-06,-0.000434427659855,0.05277541902,0.0082316288136,7.35258073373e-05,0.000435468810421
1,1.2,1,1.01897417986,2.12325662197e-06,0.0011406667542,3.95540123739e-06,1,1.01940425195,2.70966222082e-06,0.00105902220268,5.26255538352e-06,-0.000430072085235,0.0509099590713,0.0084477004712,6.79167790295e-05,0.000432367957423
1.2,1.6,1,1.01900026118,1.86086210119e-06,0.00111613437531,3.50961987924e-06,1,1.01944768949,2.24832209239e-06,0.00102129289326,4.42919173599e-06,-0.000447428318374,0.0486365168622,0.00919943176938,6.00927068481e-05,0.000448673873774
1.6,2,1,1.0189720829,2.35311448205e-06,0.00119461767073,4.30484575115e-06,1,1.0194788477,2.96807864264e-06,0.0010431524842,5.76170566329e-06,-0.000506764804853,0.0467384162001,0.0108425754669,8.12603479047e-05,0.000507921455908
2,2.5,1,1.01907329429,2.30696815673e-06,0.00135800074514,4.00148462579e-06,1,1.01960696627,2.99975737961e-06,0.00117945634849,5.49308993487e-06,-0.000533671984404,0.045536393378,0.0117196805635,0.000119443232357,0.000534254538025
2.5,3,1,1.01915114325,2.56765605755e-06,0.00154136409,4.25667604742e-06,1,1.01970307232,3.1486460973e-06,0.00129111417224,5.55192875594e-06,-0.000551929074194,0.0445277915632,0.0123951594009,9.17450594012e-05,0.000556631744003
3,4,1,1.01921188838,2.41703966708e-06,0.00177478565699,3.83119639103e-06,1,1.01975468604,2.57746775612e-06,0.00147434545211,4.30541104689e-06,-0.000542797664357,0.0438872299142,0.0123680092232,8.07227689779e-05,0.00054561006376
4,5,1,1.01927383173,3.8962957728e-06,0.00203533183915,5.96119016918e-06,1,1.01981371374,2.89796060315e-06,0.00169473669603,4.59127379306e-06,-0.00053988201677,0.0433003101816,0.0124683175364,0.000113099982139,0.000541448250987
5,6,1,1.01932183436,6.2327645991e-06,0.00221443210263,9.39851888692e-06,1,1.01986533429,3.82917516173e-06,0.00187940196185,5.88009183363e-06,-0.000543499938451,0.0429617623082,0.0126507831441,0.000170610053592,0.000546362374075
6,7,1,1.01936338589,9.42528489978e-06,0.00241753312136,1.38669964011e-05,1,1.01989512784,5.7841953639e-06,0.00203497961233,8.70891676436e-06,-0.000531741950154,0.0427834030102,0.0124286969418,0.000258627868226,0.000537581906837
7,8,1,1.0193899172,1.33247115166e-05,0.00256363878401,1.96277571532e-05,1,1.01991961069,8.35197047888e-06,0.00218055788654,1.23889857029e-05,-0.000529693493232,0.0429201101914,0.0123413824165,0.000378970792869,0.000529387300141
8,9,1,1.01934251029,1.77486211734e-05,0.00253283007097,2.60615765149e-05,1,1.01991503377,1.1546663758e-05,0.00228867379804,1.7093681284e-05,-0.000572523481671,0.0424867291899,0.0134753484815,0.000498639537551,0.000581653348821
9,10,1,1.01929408288,2.27661056036e-05,0.00267191831659,3.30712961098e-05,1,1.01993657188,1.5470121309e-05,0.00236219320381,2.2815359931e-05,-0.000642489004918,0.0428238276939,0.0150030728106,0.000653320856201,0.000645964656928
10,12,1,1.01930688597,2.25725503982e-05,0.00272535137203,3.25467036559e-05,1,1.0199114993,1.57964128861e-05,0.00243403720718,2.30922564524e-05,-0.000604613327637,0.0423379646105,0.014280642284,0.000650972576967,0.000611933521797
12,14,1,1.0192807896,3.54177794192e-05,0.0028213920986,5.14587023573e-05,1,1.01991923228,2.56046441822e-05,0.00263493458971,3.78623359167e-05,-0.000638442672726,0.0426931531284,0.0149542169164,0.00103053428695,0.000641078307376
14,16,1,1.01921924758,5.08584450756e-05,0.00281969604609,7.56389849638e-05,1,1.01996389936,3.8281167613e-05,0.00268410087713,5.57710540972e-05,-0.000744651783963,0.0426088527711,0.0174764570162,0.00149397786094,0.000750829773539
16,20,1,1.01912847656,5.63740061309e-05,0.00299352020874,8.04251231142e-05,1,1.01996458119,4.21245367109e-05,0.00297816083535,5.90742101465e-05,-0.000836104629419,0.0425803635073,0.0196359204232,0.00165291277448,0.000841342300004
