   ------------------------------------------------------------------
  | Welcome to ROOT 6.36.000                       https://root.cern |
  | (c) 1995-2025, The ROOT Team; conception: R. Brun, F. Rademakers |
  | Built for linuxx8664gcc on Jul 08 2025, 08:13:40                 |
  | From tags/6-36-000@6-36-000                                      |
  | With c++ (Ubuntu 11.4.0-1ubuntu1~22.04) 11.4.0                   |
  | Try '.help'/'.?', '.demo', '.license', '.credits', '.quit'/'.q'  |
   ------------------------------------------------------------------


Processing EPOS_finalCodeQA.cxx...
Total events = 7974900
First pass: computing FT0...
Second pass: physics observables...
Event 11: eposID=231, pt=0.383191, y=-0.300901, ist=7, ity=30 ior=204, jor=-1
Event 11: eposID=231, pt=0.64552, y=0.300946, ist=7, ity=31 ior=276, jor=-1
Event 15: eposID=231, pt=1.61093, y=-0.100547, ist=3, ity=32 ior=91, jor=-1
Event 15: eposID=231, pt=1.61093, y=-0.102206, ist=6, ity=32 ior=97, jor=-1
Event 17: eposID=231, pt=0.258933, y=0.203628, ist=7, ity=31 ior=127, jor=-1
Event 18: eposID=231, pt=1.41686, y=-0.0660259, ist=3, ity=32 ior=91, jor=-1
Event 18: eposID=231, pt=0.519489, y=-0.301895, ist=3, ity=30 ior=115, jor=-1
Event 18: eposID=231, pt=0.491276, y=0.49971, ist=7, ity=31 ior=126, jor=-1
Event 18: eposID=231, pt=1.41686, y=-0.0660259, ist=6, ity=32 ior=96, jor=-1
Event 18: eposID=231, pt=0.519489, y=-0.371719, ist=6, ity=30 ior=122, jor=-1
Event 19: eposID=231, pt=0.515961, y=0.364348, ist=7, ity=30 ior=124, jor=-1
Event 19: eposID=231, pt=1.01779, y=0.139256, ist=1, ity=60 ior=419, jor=-1
Event 19: eposID=231, pt=0.147937, y=0.452376, ist=6, ity=60 ior=535, jor=-1
Event 22: eposID=231, pt=0.178991, y=-0.323958, ist=3, ity=31 ior=42, jor=-1
Event 22: eposID=231, pt=0.178991, y=-0.295778, ist=6, ity=31 ior=50, jor=-1
Event 27: eposID=231, pt=0.316593, y=0.0176626, ist=3, ity=30 ior=37, jor=-1
Event 27: eposID=231, pt=0.316593, y=0.0176626, ist=6, ity=30 ior=47, jor=-1
Event 28: eposID=231, pt=0.109457, y=-0.330785, ist=7, ity=30 ior=36, jor=-1
Event 28: eposID=231, pt=0.0386827, y=0.310063, ist=7, ity=31 ior=57, jor=-1
Event 32: eposID=231, pt=0.548, y=-0.30419, ist=3, ity=30 ior=56, jor=-1
Event 32: eposID=231, pt=0.548, y=-0.30419, ist=6, ity=30 ior=70, jor=-1
Event 36: eposID=231, pt=0.167098, y=-0.361608, ist=3, ity=30 ior=170, jor=-1
Event 36: eposID=231, pt=0.167098, y=-0.420239, ist=6, ity=30 ior=191, jor=-1
Event 37: eposID=231, pt=0.65653, y=-0.397585, ist=3, ity=60 ior=-1, jor=-1
Event 37: eposID=231, pt=0.65653, y=-0.406091, ist=6, ity=60 ior=249, jor=-1
Event 39: eposID=231, pt=1.16054, y=-0.477676, ist=3, ity=60 ior=-1, jor=-1
Event 40: eposID=231, pt=0.517284, y=-0.390892, ist=7, ity=31 ior=235, jor=-1
Event 41: eposID=231, pt=0.12044, y=-0.0296799, ist=3, ity=30 ior=219, jor=-1
Event 41: eposID=231, pt=0.12044, y=-0.0299267, ist=6, ity=30 ior=227, jor=-1
Event 42: eposID=231, pt=0.00447186, y=0.000579558, ist=3, ity=30 ior=282, jor=-1
Event 42: eposID=231, pt=0.00447186, y=0.000580629, ist=6, ity=30 ior=288, jor=-1
Event 43: eposID=231, pt=0.507974, y=0.385437, ist=7, ity=31 ior=224, jor=-1
Event 46: eposID=231, pt=0.624111, y=0.377571, ist=1, ity=60 ior=109, jor=-1
Event 52: eposID=231, pt=0.250821, y=-0.191688, ist=7, ity=30 ior=269, jor=-1
Event 52: eposID=231, pt=1.30426, y=0.248233, ist=1, ity=60 ior=466, jor=-1
Event 52: eposID=231, pt=0.748122, y=-0.0499225, ist=6, ity=60 ior=1064, jor=-1
Event 54: eposID=231, pt=0.516086, y=0.0444267, ist=7, ity=30 ior=285, jor=-1
Event 54: eposID=231, pt=0.878175, y=-0.00716932, ist=7, ity=30 ior=322, jor=-1
Event 54: eposID=231, pt=1.53253, y=0.208919, ist=3, ity=60 ior=-1, jor=-1
Event 54: eposID=231, pt=1.53253, y=0.208919, ist=6, ity=60 ior=434, jor=-1
Event 66: eposID=231, pt=0.880295, y=0.27449, ist=3, ity=60 ior=-1, jor=-1
Event 66: eposID=231, pt=0.880295, y=0.263887, ist=6, ity=60 ior=123, jor=-1
Event 71: eposID=231, pt=0.956568, y=-0.412026, ist=7, ity=31 ior=265, jor=-1
Event 73: eposID=231, pt=0.842453, y=0.479921, ist=7, ity=31 ior=106, jor=-1
Event 74: eposID=231, pt=0.20487, y=0.188954, ist=3, ity=31 ior=105, jor=-1
Event 74: eposID=231, pt=0.20487, y=0.189893, ist=6, ity=31 ior=113, jor=-1
Event 75: eposID=231, pt=0.235758, y=-0.326769, ist=3, ity=31 ior=59, jor=-1
Event 75: eposID=231, pt=0.708898, y=0.38104, ist=7, ity=31 ior=75, jor=-1
Event 75: eposID=231, pt=0.235758, y=-0.326769, ist=6, ity=31 ior=62, jor=-1
Event 78: eposID=231, pt=0.1175, y=-0.289771, ist=3, ity=31 ior=58, jor=-1
Event 78: eposID=231, pt=0.1175, y=-0.289771, ist=6, ity=31 ior=61, jor=-1
Event 79: eposID=231, pt=0.0896542, y=0.113305, ist=3, ity=31 ior=84, jor=-1
Event 79: eposID=231, pt=0.0896542, y=0.116223, ist=6, ity=31 ior=89, jor=-1
Event 81: eposID=231, pt=0.699995, y=0.130579, ist=7, ity=30 ior=278, jor=-1
Event 81: eposID=231, pt=2.80681, y=0.135205, ist=3, ity=60 ior=-1, jor=-1
Event 81: eposID=231, pt=2.80681, y=0.135205, ist=6, ity=60 ior=407, jor=-1
Event 83: eposID=231, pt=0.052726, y=-0.297202, ist=7, ity=30 ior=255, jor=-1
Event 84: eposID=231, pt=0.426666, y=0.120843, ist=7, ity=30 ior=262, jor=-1
Event 84: eposID=231, pt=0.267342, y=-0.15917, ist=7, ity=31 ior=314, jor=-1
Event 91: eposID=231, pt=0.301588, y=0.0570111, ist=3, ity=30 ior=48, jor=-1
Event 91: eposID=231, pt=0.301588, y=0.0580471, ist=6, ity=30 ior=53, jor=-1
Event 100: eposID=231, pt=0.771627, y=0.289413, ist=3, ity=60 ior=-1, jor=-1
Event 100: eposID=231, pt=1.80202, y=0.241118, ist=3, ity=60 ior=-1, jor=-1
Event 100: eposID=231, pt=0.771627, y=0.28589, ist=6, ity=60 ior=247, jor=-1
Event 100: eposID=231, pt=1.80202, y=0.241118, ist=6, ity=60 ior=253, jor=-1
Event 101: eposID=231, pt=0.605196, y=-0.114758, ist=7, ity=30 ior=60, jor=-1
Event 101: eposID=231, pt=0.360464, y=-0.161065, ist=7, ity=30 ior=166, jor=-1
Event 102: eposID=231, pt=0.632438, y=0.483882, ist=7, ity=30 ior=102, jor=-1
Event 103: eposID=231, pt=0.760879, y=0.108944, ist=7, ity=30 ior=103, jor=-1
Event 106: eposID=231, pt=0.168909, y=0.0638904, ist=3, ity=31 ior=226, jor=-1
Event 106: eposID=231, pt=0.229585, y=0.113365, ist=7, ity=30 ior=297, jor=-1
Event 106: eposID=231, pt=0.168909, y=0.0638904, ist=6, ity=31 ior=236, jor=-1
Event 107: eposID=231, pt=0.195952, y=-0.454248, ist=7, ity=31 ior=104, jor=-1
Event 108: eposID=231, pt=0.697368, y=0.121166, ist=7, ity=31 ior=137, jor=-1
Event 108: eposID=231, pt=0.372398, y=0.191576, ist=3, ity=31 ior=223, jor=-1
Event 108: eposID=231, pt=0.372398, y=0.191576, ist=6, ity=31 ior=227, jor=-1
Event 111: eposID=231, pt=1.61863, y=0.490809, ist=3, ity=60 ior=-1, jor=-1
Event 112: eposID=231, pt=0.122057, y=0.0460792, ist=7, ity=30 ior=76, jor=-1
Event 112: eposID=231, pt=0.565155, y=0.23239, ist=7, ity=30 ior=76, jor=-1
Event 112: eposID=231, pt=1.46947, y=0.498302, ist=6, ity=60 ior=311, jor=-1
Event 114: eposID=231, pt=0.204547, y=-0.361919, ist=7, ity=31 ior=117, jor=-1
Event 114: eposID=231, pt=1.23571, y=-0.143363, ist=6, ity=60 ior=827, jor=-1
Event 115: eposID=231, pt=0.368177, y=0.313992, ist=7, ity=31 ior=111, jor=-1
Event 117: eposID=231, pt=0.82198, y=-0.0173095, ist=3, ity=31 ior=92, jor=-1
Event 117: eposID=231, pt=0.597116, y=0.0556463, ist=3, ity=60 ior=-1, jor=-1
Event 117: eposID=231, pt=0.82198, y=-0.0174796, ist=6, ity=31 ior=106, jor=-1
Event 117: eposID=231, pt=0.597116, y=0.0380666, ist=6, ity=60 ior=176, jor=-1
Event 118: eposID=231, pt=0.149649, y=-0.158445, ist=7, ity=30 ior=110, jor=-1
Event 118: eposID=231, pt=0.414907, y=0.0561757, ist=7, ity=30 ior=110, jor=-1
Event 122: eposID=231, pt=0.455043, y=0.201451, ist=3, ity=31 ior=30, jor=-1
Event 122: eposID=231, pt=0.455043, y=0.191216, ist=6, ity=31 ior=31, jor=-1
