gamma_GeV,chi2,delta_chi2,status,cov_status,NX,MX
0.001,44.2564,20.1835,0,3,2735.24,2.67027
0.00351899,44.0047,19.9318,0,3,877.302,2.6703
0.00603797,43.4829,19.41,0,3,638.496,2.67037
0.00855696,42.7134,18.6405,0,3,594.079,2.67047
0.0110759,41.7296,17.6566,0,3,616.314,2.67065
0.0135949,40.5712,16.4983,0,3,671.875,2.67093
0.0161139,39.275,15.2021,0,3,747.307,2.67142
0.0186329,37.851,13.778,0,3,831.897,2.67263
0.0211519,35.3029,11.23,0,3,980.208,2.67922
0.0236709,34.0368,9.96387,0,3,1089,2.67901
0.0261899,32.8503,8.77734,0,3,1202.35,2.67877
0.0287089,31.7567,7.68382,0,3,1318.86,2.67853
0.0312278,30.7613,6.6884,0,3,1437.6,2.67831
0.0337468,29.8632,5.79027,0,3,1558.32,2.67811
0.0362658,29.058,4.98511,0,3,1680.51,2.67792
0.0387848,28.3398,4.26687,0,3,1804.36,2.67774
0.0413038,27.7018,3.62885,0,3,1929.68,2.67756
0.0438228,27.1373,3.06434,0,3,2056.67,2.67739
0.0463418,26.6398,2.56689,0,3,2185.41,2.67721
0.0488608,26.2034,2.13047,0,3,2316.03,2.67703
0.0513797,25.8224,1.74946,0,3,2448.67,2.67686
0.0538987,25.4917,1.41874,0,3,2583.37,2.67668
0.0564177,25.2065,1.13359,0,3,2720.36,2.67651
0.0589367,24.9626,0.889698,0,3,2859.42,2.67634
0.0614557,24.756,0.683116,0,3,3001.63,2.67617
0.0639747,24.5832,0.510248,0,3,3146.16,2.67601
0.0664937,24.4407,0.367806,0,3,3293.41,2.67584
0.0690127,24.3257,0.252792,0,3,3443.42,2.67568
0.0715316,24.2354,0.162477,0,3,3596.34,2.67552
0.0740506,24.1673,0.0943694,0,3,3752.86,2.67536
0.0765696,24.1191,0.0462068,0,3,3912.69,2.6752
0.0790886,24.0888,0.0159294,0,3,4075.88,2.67504
0.0816076,24.0746,0.00166519,0,3,4242.71,2.67488
0.0841266,24.0746,0.00171415,0,3,4413.21,2.67473
0.0866456,24.0874,0.0145333,0,3,4587.58,2.67457
0.0891646,24.1116,0.0387227,0,3,4766.15,2.67441
0.0916835,24.1459,0.0730136,0,3,4948.92,2.67425
0.0942025,24.1892,0.116257,0,3,5136.29,2.67409
0.0967215,24.2403,0.167411,0,3,5327.69,2.67393
0.0992405,24.2984,0.225534,0,3,5524.04,2.67377
0.101759,24.3627,0.289775,0,3,5725.28,2.67361
0.104278,24.4323,0.359364,0,3,5931.55,2.67345
0.106797,24.5065,0.433606,0,3,6143.06,2.67328
0.109316,24.5848,0.511874,0,3,6360.19,2.67312
0.111835,24.6665,0.593601,0,3,6582.51,2.67295
0.114354,24.7512,0.678279,0,3,6810.23,2.67279
0.116873,24.8384,0.765447,0,3,7044.26,2.67262
0.119392,24.9276,0.854694,0,3,7284.59,2.67245
0.121911,25.0186,0.945648,0,3,7531.3,2.67227
0.12443,25.1109,1.03798,0,3,7783.4,2.6721
0.126949,25.2043,1.13138,0,3,8042.89,2.67193
0.129468,25.2985,1.22559,0,3,8309.13,2.67175
0.131987,25.3933,1.32037,0,3,8582.47,2.67158
0.134506,25.4884,1.4155,0,3,8863.13,2.6714
0.137025,25.5837,1.51079,0,3,9151.17,2.67122
0.139544,25.679,1.60608,0,3,9446.88,2.67103
0.142063,25.7741,1.70121,0,3,9750.35,2.67085
0.144582,25.869,1.79606,0,3,10062.3,2.67066
0.147101,25.9634,1.89049,0,3,10381.7,2.67048
0.14962,26.0573,1.98441,0,3,10709.7,2.67029
0.152139,26.1506,2.07772,0,3,11047.6,2.6701
0.154658,26.2433,2.17035,0,3,11393.4,2.66991
0.157177,26.3351,2.26223,0,3,11748.5,2.66972
0.159696,26.4262,2.35329,0,3,12114.4,2.66952
0.162215,26.5164,2.44348,0,3,12488.8,2.66933
0.164734,26.6057,2.53277,0,3,12873.1,2.66913
0.167253,26.694,2.6211,0,3,13268.1,2.66893
0.169772,26.7814,2.70845,0,3,13671.4,2.66874
0.172291,26.8677,2.7948,0,3,14088,2.66853
0.17481,26.953,2.88012,0,3,14515.6,2.66833
0.177329,27.0373,2.96439,0,3,14953.7,2.66812
0.179848,27.1205,3.0476,0,3,15403.3,2.66792
0.182367,27.2027,3.12974,0,3,15864.5,2.66771
0.184886,27.2837,3.21081,0,3,16337.8,2.6675
0.187405,27.3637,3.29081,0,3,16824.5,2.66729
0.189924,27.4426,3.36972,0,3,17321.7,2.66708
0.192443,27.5205,3.44755,0,3,17832.7,2.66687
0.194962,27.5972,3.52431,0,3,18357,2.66666
0.197481,27.6729,3.6,0,3,18894.7,2.66644
0.2,27.7475,3.67462,0,3,19446.4,2.66623
