
Correlation Matrix:

          p0          p1          p2          p3          p4          p5          p6          p7          p8          p9         p10         p11         p12         p13         p14         p15
p0            1     0.33912  -0.0024418    -0.24129     0.21925     -0.2644     0.20962   -0.020066     0.18991    0.042478 -0.00071616    0.017448   -0.043796   -0.064205   -0.023156  -0.0049741
p1      0.33912           1  -0.0015153    -0.81685    -0.28278    -0.76151     -0.3396    -0.06671    -0.24407    -0.34687     0.13101    -0.23992     -0.1778    -0.12449    -0.24272     0.30555
p2   -0.0024418  -0.0015153           1  0.00042156  2.4122e-06  0.00034155   4.548e-05  1.9498e-05  2.5152e-05  8.3281e-05 -3.1268e-05  6.0325e-05  0.00019906  0.00020681  0.00019344 -0.00016074
p3     -0.24129    -0.81685  0.00042156           1     0.67449     0.97792     0.62031     0.10808     0.45648     0.62493    -0.21746     0.43152     0.59745     0.54255     0.66095    -0.70741
p4      0.21925    -0.28278  2.4122e-06     0.67449           1     0.71163     0.60452      0.1002     0.44412     0.61523    -0.20723     0.42559     0.68743     0.65151     0.72769    -0.74415
p5      -0.2644    -0.76151  0.00034155     0.97792     0.71163           1     0.55752     0.10977       0.402     0.59868     -0.2128     0.41583     0.58456      0.5338     0.64239    -0.68524
p6      0.20962     -0.3396   4.548e-05     0.62031     0.60452     0.55752           1     0.28218      0.9098      0.4655    0.043868      0.2367     0.71634     0.68142     0.76574    -0.76608
p7    -0.020066    -0.06671  1.9498e-05     0.10808      0.1002     0.10977     0.28218           1     0.38205    -0.16469     0.29519    -0.22435    0.087727    0.083628    0.093512   -0.093347
p8      0.18991    -0.24407  2.5152e-05     0.45648     0.44412       0.402      0.9098     0.38205           1     0.26911     0.14686    0.095625     0.55011     0.52392     0.59275    -0.58426
p9     0.042478    -0.34687  8.3281e-05     0.62493     0.61523     0.59868      0.4655    -0.16469     0.26911           1    -0.41878     0.88575     0.62007     0.59503     0.69185    -0.63963
p10 -0.00071616     0.13101 -3.1268e-05    -0.21746    -0.20723     -0.2128    0.043868     0.29519     0.14686    -0.41878           1     -0.4489    -0.21665    -0.20543    -0.22095     0.23899
p11    0.017448    -0.23992  6.0325e-05     0.43152     0.42559     0.41583      0.2367    -0.22435    0.095625     0.88575     -0.4489           1     0.41162      0.3959     0.47384      -0.417
p12   -0.043796     -0.1778  0.00019906     0.59745     0.68743     0.58456     0.71634    0.087727     0.55011     0.62007    -0.21665     0.41162           1     0.99626     0.99066    -0.97946
p13   -0.064205    -0.12449  0.00020681     0.54255     0.65151      0.5338     0.68142    0.083628     0.52392     0.59503    -0.20543      0.3959     0.99626           1     0.98046    -0.95927
p14   -0.023156    -0.24272  0.00019344     0.66095     0.72769     0.64239     0.76574    0.093512     0.59275     0.69185    -0.22095     0.47384     0.99066     0.98046           1    -0.98097
p15   -0.0049741     0.30555 -0.00016074    -0.70741    -0.74415    -0.68524    -0.76608   -0.093347    -0.58426    -0.63963     0.23899      -0.417    -0.97946    -0.95927    -0.98097           1

