
Correlation Matrix:

        p0          p1          p2          p3          p4          p5          p6          p7          p8          p9         p10         p11         p12         p13         p14         p15
p0           1     0.84115     0.98452    -0.87103     0.91291      -0.815     -0.3516     0.15858    -0.23404    -0.52361     0.26332     -0.3991    -0.73956     -0.7364    -0.73269     0.69596
p1     0.84115           1     0.81197    -0.93842     0.93868    -0.90254    -0.48207      0.2296    -0.34758    -0.58267     0.29405    -0.43457    -0.59201    -0.56954    -0.60164     0.62639
p2     0.98452     0.81197           1    -0.84501     0.86543     -0.7761    -0.36524     0.17064    -0.25329    -0.50948     0.25079     -0.3858    -0.72491    -0.72027    -0.71745     0.68351
p3    -0.87103    -0.93842    -0.84501           1    -0.92073     0.98379     0.63012    -0.31037     0.46602     0.73684    -0.35981     0.54757     0.78483     0.76241      0.7962    -0.81914
p4     0.91291     0.93868     0.86543    -0.92073           1    -0.89208    -0.40541     0.18441    -0.28237    -0.54238     0.27582    -0.40883    -0.63427    -0.62001    -0.63708     0.63647
p5      -0.815    -0.90254     -0.7761     0.98379    -0.89208           1     0.62466    -0.30351     0.45591     0.74529    -0.36956     0.55517     0.76525     0.74195     0.77929     -0.8078
p6     -0.3516    -0.48207    -0.36524     0.63012    -0.40541     0.62466           1    -0.34297     0.92151     0.57031   -0.020973     0.30834     0.69873     0.67262     0.71229    -0.78004
p7     0.15858      0.2296     0.17064    -0.31037     0.18441    -0.30351    -0.34297           1    -0.26768    -0.52985     0.43146     -0.4773    -0.35183    -0.33914    -0.37177     0.38863
p8    -0.23404    -0.34758    -0.25329     0.46602    -0.28237     0.45591     0.92151    -0.26768           1      0.3977    0.098365     0.18063     0.55202     0.53002     0.56153    -0.62375
p9    -0.52361    -0.58267    -0.50948     0.73684    -0.54238     0.74529     0.57031    -0.52985      0.3977           1    -0.60032     0.90985     0.73702     0.72084     0.77521    -0.76855
p10    0.26332     0.29405     0.25079    -0.35981     0.27582    -0.36956   -0.020973     0.43146    0.098365    -0.60032           1    -0.65568    -0.33071    -0.32309    -0.34848     0.34501
p11    -0.3991    -0.43457     -0.3858     0.54757    -0.40883     0.55517     0.30834     -0.4773     0.18063     0.90985    -0.65568           1     0.53142     0.52175     0.57199     -0.5426
p12   -0.73956    -0.59201    -0.72491     0.78483    -0.63427     0.76525     0.69873    -0.35183     0.55202     0.73702    -0.33071     0.53142           1     0.99854     0.99777    -0.98515
p13    -0.7364    -0.56954    -0.72027     0.76241    -0.62001     0.74195     0.67262    -0.33914     0.53002     0.72084    -0.32309     0.52175     0.99854           1     0.99504    -0.97543
p14   -0.73269    -0.60164    -0.71745      0.7962    -0.63708     0.77929     0.71229    -0.37177     0.56153     0.77521    -0.34848     0.57199     0.99777     0.99504           1    -0.98659
p15    0.69596     0.62639     0.68351    -0.81914     0.63647     -0.8078    -0.78004     0.38863    -0.62375    -0.76855     0.34501     -0.5426    -0.98515    -0.97543    -0.98659           1
